,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
South Africa,Data source,All types,7.25,7.46,7.5,7.3,7.17,7.2,7.32,7.47,7.56,7.7
South Africa,Data source,Beer,4.09,4.16,4.19,4.14,4.13,4.16,4.29,4.21,4.28,4.4
South Africa,Data source,Wine,1.27,1.35,1.37,1.33,1.34,1.38,1.38,1.58,1.6,1.6
South Africa,Data source,Spirits,1.31,1.39,1.39,1.36,1.32,1.31,1.3,1.33,1.33,1.39
South Africa,Data source,Other alcoholic beverages,0.57,0.56,0.54,0.47,0.39,0.35,0.35,0.36,0.35,0.32
Spain,Data source,All types,9.99,10.24,11.05,11.86,11.92,11.32,11.04,10.41,12.01,11.61
Spain,Data source,Beer,4.98,4.92,5.09,5.15,4.98,4.08,4.1,3.82,3.89,3.78
Spain,Data source,Wine,2.28,2.44,2.78,3.43,3.67,3.87,3.8,4,4.18,4.51
Spain,Data source,Spirits,2.73,2.88,3.18,3.28,3.27,3.37,3.15,2.59,3.93,3.33
Spain,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Data source,All types,2.05,2.1,2.29,1.96,1.97,1.56,1.69,1.62,1.68,1.45
Sri Lanka,Data source,Beer,0.2,0.2,0.2,0.2,0.3,0.17,0.15,0.15,0.1,0.1
Sri Lanka,Data source,Wine,0,0,0,0,0,0,0.01,0.01,0,0.01
Sri Lanka,Data source,Spirits,1.81,1.86,2.05,1.72,1.63,1.39,1.53,1.46,1.58,1.34
Sri Lanka,Data source,Other alcoholic beverages,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0
Suriname,Data source,All types,4.93,4.82,4.69,4.57,4.52,4.66,4.7,4.58,4.41,4.46
Suriname,Data source,Beer,2,1.92,1.73,1.66,1.55,1.66,1.67,1.7,1.74,1.69
Suriname,Data source,Wine,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.08
Suriname,Data source,Spirits,2.65,2.62,2.69,2.64,2.75,2.79,2.83,2.69,2.48,2.6
Suriname,Data source,Other alcoholic beverages,0.15,0.15,0.15,0.14,0.09,0.09,0.09,0.09,0.09,0.09
Sweden,Data source,All types,7.31,7.02,6.98,6.81,6.53,6.51,6.88,6.88,6.5,6.2
Sweden,Data source,Beer,2.74,2.7,2.73,2.72,2.61,2.6,2.77,2.75,2.61,2.7
Sweden,Data source,Wine,3.31,3.09,3.04,2.86,2.71,2.68,2.71,2.62,2.4,2.2
Sweden,Data source,Spirits,1.13,1.11,1.09,1.1,1.09,1.11,1.27,1.39,1.4,1.3
Sweden,Data source,Other alcoholic beverages,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.09,0
Switzerland,Data source,All types,10.15,10.29,10.44,10.24,10.15,10.54,10.82,10.85,11.12,11.26
Switzerland,Data source,Beer,3.3,3.31,3.32,3.21,3.11,3.24,3.37,3.25,3.38,3.39
Switzerland,Data source,Wine,4.84,4.97,5.1,5,5.14,5.27,5.41,5.54,5.68,5.81
Switzerland,Data source,Spirits,1.89,1.89,1.9,1.91,1.79,1.92,1.92,1.93,1.93,1.94
Switzerland,Data source,Other alcoholic beverages,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Syrian Arab Republic,Data source,All types,0.76,0.75,0.74,0.75,0.79,0.61,0.86,0.9,0.95,0.93
Syrian Arab Republic,Data source,Beer,0.1,0.07,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Syrian Arab Republic,Data source,Wine,0.01,0.01,0,0,0,0,0,0,0,0
Syrian Arab Republic,Data source,Spirits,0.66,0.68,0.69,0.71,0.74,0.56,0.82,0.86,0.91,0.89
Syrian Arab Republic,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Tajikistan,Data source,All types,0.66,0.56,0.54,0.56,0.65,0.7,0.74,0.8,0.8,0.81
Tajikistan,Data source,Beer,0.24,0.3,0.19,0.16,0.15,0.13,0.14,0.14,0.14,0.14
Tajikistan,Data source,Wine,0.02,0.05,0.08,0.11,0.18,0.18,0.19,0.19,0.18,0.12
Tajikistan,Data source,Spirits,0.39,0.21,0.26,0.29,0.32,0.38,0.41,0.47,0.48,0.54
Tajikistan,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Thailand,Data source,All types,6.74,7.54,6.12,6.1,6.19,6.1,6.07,5.86,5.84,5.81
Thailand,Data source,Beer,2.01,2.24,1.97,1.95,1.68,1.59,1.57,1.28,1.2,1.11
Thailand,Data source,Wine,0.14,0.16,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
Thailand,Data source,Spirits,4.59,5.14,4.13,4.13,4.49,4.49,4.48,4.56,4.63,4.68
Thailand,Data source,Other alcoholic beverages,6.74,7.54,6.12,6.1,6.19,6.1,6.07,5.86,5.84,5.81
Timor-Leste,Data source,All types,0.09,0.06,0.05,0.04,0.35,0.39,0.44,0.48,0.5,0.5
Timor-Leste,Data source,Beer,0.01,0.01,0,0.01,0.34,0.36,0.37,0.41,0.42,0.43
Timor-Leste,Data source,Wine,0.06,0.04,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03
Timor-Leste,Data source,Spirits,0.01,0.01,0.01,0.01,0,0.01,0.04,0.04,0.05,0.05
Timor-Leste,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Togo,Data source,All types,1.16,1.44,1.52,2.01,1.84,1.61,0.89,0.86,0.88,1.08
Togo,Data source,Beer,0.66,0.65,0.58,0.49,0.47,0.46,0.46,0.43,0.42,0.44
Togo,Data source,Wine,0.09,0.34,0.39,0.42,0.31,0.33,0.14,0.08,0.14,0.1
Togo,Data source,Spirits,0.07,0.11,0.15,0.72,0.78,0.64,0.02,0.04,0.06,0.24
Togo,Data source,Other alcoholic beverages,0.34,0.35,0.39,0.39,0.28,0.18,0.27,0.31,0.26,0.3
Tonga,Data source,All types,1.08,1.1,2.05,1.79,1.89,1.79,1.79,1.5,1.34,1.22
Tonga,Data source,Beer,0.62,0.62,0.87,0.87,0.88,0.89,0.89,0.89,0.65,0.66
Tonga,Data source,Wine,0.12,0.11,0.16,0.09,0.28,0.3,0.22,0.08,0.1,0.1
Tonga,Data source,Spirits,0.35,0.36,1.02,0.83,0.63,0.43,0.55,0.51,0.59,0.46
Tonga,Data source,Other alcoholic beverages,0,0,0,0,0.1,0.18,0.13,0.02,0,0
Trinidad and Tobago,Data source,All types,5.93,5.99,6.03,6.05,5.75,5.52,5.44,5.25,4.7,4.81
Trinidad and Tobago,Data source,Beer,2.83,2.8,2.81,2.83,2.74,2.67,2.57,2.53,2.05,2.12
Trinidad and Tobago,Data source,Wine,0.19,0.22,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.18
Trinidad and Tobago,Data source,Spirits,2.83,2.88,2.92,2.91,2.72,2.64,2.64,2.51,2.43,2.46
Trinidad and Tobago,Data source,Other alcoholic beverages,0.08,0.09,0.12,0.12,0.11,0.04,0.04,0.04,0.04,0.04
Tunisia,Data source,All types,1.36,1.28,1.17,1.32,1.25,1.22,1.19,1.15,1.18,1.2
Tunisia,Data source,Beer,0.96,0.93,0.91,0.88,0.85,0.82,0.79,0.78,0.74,0.78
Tunisia,Data source,Wine,0.29,0.29,0.19,0.38,0.34,0.35,0.36,0.34,0.4,0.37
Tunisia,Data source,Spirits,0.1,0.05,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.04
Tunisia,Data source,Other alcoholic beverages,0.02,0,0,0,0,0,0,0,0,0
Turkey,Data source,All types,1.52,1.51,1.37,1.39,1.39,1.48,1.53,1.59,1.6,1.66
Turkey,Data source,Beer,0.91,0.92,0.85,0.82,0.83,0.85,0.85,0.83,0.8,0.82
Turkey,Data source,Wine,0.11,0.09,0.06,0.06,0.07,0.05,0.04,0.04,0.06,0.05
Turkey,Data source,Spirits,0.51,0.5,0.46,0.51,0.49,0.58,0.64,0.72,0.75,0.78
Turkey,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Data source,All types,2,2.12,2.23,2.54,2.63,2.58,2.57,2.41,2.36,2.89
Turkmenistan,Data source,Beer,0.15,0.22,0.3,0.48,0.45,0.38,0.35,0.18,0.1,0.08
Turkmenistan,Data source,Wine,0.58,0.66,0.7,0.82,0.92,0.95,0.96,0.97,0.98,1.51
Turkmenistan,Data source,Spirits,1.27,1.23,1.23,1.24,1.25,1.25,1.25,1.26,1.28,1.3
Turkmenistan,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Tuvalu,Data source,All types,1.27,1.04,0.58,1.25,0.65,2.2,1.52,0.54,2.07,1.32
Tuvalu,Data source,Beer,0.06,0.11,0.03,0.85,0.02,0.05,0.11,0.32,1.15,0.92
Tuvalu,Data source,Wine,0.49,0.15,0.06,0.03,0.01,0.26,0.06,0.1,0.13,0.13
Tuvalu,Data source,Spirits,0.72,0.78,0.49,0.37,0.62,1.89,1.34,0.13,0.79,0.27
Tuvalu,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Uganda,Data source,All types,11.1,11.37,10.77,10.97,11.3,11.06,11.37,11.64,11.8,11.68
Uganda,Data source,Beer,0.64,0.53,0.58,0.55,0.51,0.43,0.43,0.44,0.49,0.57
Uganda,Data source,Wine,0.01,0.01,0.01,0,0,0,0,0,0,0
Uganda,Data source,Spirits,0.55,0.57,0.17,0.18,0.19,0.21,0.18,0.19,0.19,0.2
Uganda,Data source,Other alcoholic beverages,9.9,10.26,10.01,10.23,10.6,10.41,10.76,11.01,11.11,10.91
Ukraine,Data source,All types,8.97,9.41,8.12,7.42,6.82,6.51,6.81,7.13,7.31,6.95
Ukraine,Data source,Beer,3.34,3.6,3.58,3.03,2.69,2.18,1.95,1.74,1.52,1.28
Ukraine,Data source,Wine,0.49,0.48,0.45,0.42,0.39,0.52,0.53,0.54,0.38,0.36
Ukraine,Data source,Spirits,5.06,5.24,4.02,3.91,3.7,3.81,4.33,4.85,5.41,5.3
Ukraine,Data source,Other alcoholic beverages,0.08,0.09,0.08,0.06,0.05,0,0,0,0,0
United Arab Emirates,Data source,All types,1.76,1.86,2.28,2.46,2.68,1.59,1.57,1.6,1.62,1.66
United Arab Emirates,Data source,Beer,0.23,0.28,0.3,0.33,0.4,0.45,0.49,0.51,0.52,0.54
United Arab Emirates,Data source,Wine,0.12,0.13,0.12,0.12,0.13,0.13,0.07,0.07,0.07,0.07
United Arab Emirates,Data source,Spirits,1.41,1.44,1.85,1.99,2.14,1,1.01,1,1.02,1.03
United Arab Emirates,Data source,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
United Kingdom of Great Britain and Northern Ireland,Data source,All types,9.98,10.66,11.06,10.93,11.38,11.58,11.28,11.33,11.31,10.82
United Kingdom of Great Britain and Northern Ireland,Data source,Beer,3.78,4.17,4.42,4.69,4.85,5.11,5.17,5.12,5.06,4.98
United Kingdom of Great Britain and Northern Ireland,Data source,Wine,3.17,3.4,3.51,3.25,3.42,3.33,3.05,3.28,3.6,3.25
United Kingdom of Great Britain and Northern Ireland,Data source,Spirits,2.12,2.26,2.33,2.25,2.46,2.52,2.45,2.33,2.03,1.96
United Kingdom of Great Britain and Northern Ireland,Data source,Other alcoholic beverages,0.91,0.82,0.8,0.75,0.65,0.63,0.6,0.61,0.62,0.63
United Republic of Tanzania,Data source,All types,6.26,4.96,6.89,6.09,5.74,5.69,3.45,5.14,6.25,5.96
United Republic of Tanzania,Data source,Beer,0.68,0.76,0.77,0.64,0.56,0.51,0.49,0.46,0.49,0.51
United Republic of Tanzania,Data source,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
United Republic of Tanzania,Data source,Spirits,0.2,0.18,0.15,0.15,0.15,0.12,0.09,0.11,0.09,0.1
United Republic of Tanzania,Data source,Other alcoholic beverages,5.37,4.01,5.97,5.29,5.03,5.06,2.86,4.56,5.66,5.35
United States of America,Data source,All types,8.67,8.74,8.74,8.63,8.55,8.48,8.4,8.33,8.25,8.21
United States of America,Data source,Beer,4.43,4.54,4.58,4.54,4.54,4.58,4.58,4.66,4.66,4.62
United States of America,Data source,Wine,1.48,1.44,1.44,1.4,1.36,1.32,1.29,1.25,1.17,1.17
United States of America,Data source,Spirits,2.76,2.76,2.73,2.69,2.65,2.57,2.54,2.42,2.42,2.42
United States of America,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Uruguay,Data source,All types,6.45,6.54,6.51,6.45,6.26,5.88,5.4,6.08,6.9,7.11
Uruguay,Data source,Beer,1.75,1.77,1.55,1.44,1.31,1.1,0.85,1,1.19,1.37
Uruguay,Data source,Wine,3.75,3.86,4.07,4.12,4.18,4.08,3.89,4.33,4.76,4.88
Uruguay,Data source,Spirits,0.96,0.9,0.9,0.89,0.77,0.69,0.65,0.75,0.95,0.87
Uruguay,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Data source,All types,1.7,1.72,1.75,1.81,1.76,2.82,2.92,2.73,2.92,3.03
Uzbekistan,Data source,Beer,0.81,0.75,0.64,0.6,0.45,0.35,0.27,0.24,0.23,0.2
Uzbekistan,Data source,Wine,0.07,0.14,0.16,0.14,0.16,0.24,0.32,0.24,0.31,0.3
Uzbekistan,Data source,Spirits,0.82,0.82,0.95,1.07,1.15,2.24,2.32,2.25,2.38,2.53
Uzbekistan,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Vanuatu,Data source,All types,0.83,1.17,1.01,1,0.89,0.85,0.88,0.9,0.76,0.82
Vanuatu,Data source,Beer,0.32,0.32,0.45,0.46,0.47,0.49,0.51,0.52,0.4,0.46
Vanuatu,Data source,Wine,0.23,0.28,0.17,0.18,0.22,0.17,0.18,0.19,0.16,0.16
Vanuatu,Data source,Spirits,0.28,0.57,0.39,0.36,0.19,0.19,0.19,0.19,0.19,0.19
Vanuatu,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),Data source,All types,7.75,8.41,8.89,8.37,7.98,7.58,6.39,6.99,8.15,8.09
Venezuela (Bolivarian Republic of),Data source,Beer,5.79,6.36,6.85,6.38,6.17,5.95,4.4,5.17,6.02,5.61
Venezuela (Bolivarian Republic of),Data source,Wine,0.27,0.34,0.31,0.25,0.18,0.14,0.11,0.13,0.18,0.16
Venezuela (Bolivarian Republic of),Data source,Spirits,1.63,1.66,1.69,1.71,1.6,1.5,1.88,1.69,1.95,2.32
Venezuela (Bolivarian Republic of),Data source,Other alcoholic beverages,0.06,0.05,0.05,0.04,0.03,0,0,0,0,0
Viet Nam,Data source,All types,1.97,1.78,1.51,1.35,1.19,1.13,0.93,0.82,0.76,0.71
Viet Nam,Data source,Beer,1.81,1.63,1.43,1.28,1.12,1.07,0.88,0.77,0.72,0.69
Viet Nam,Data source,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Viet Nam,Data source,Spirits,0.15,0.14,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.02
Viet Nam,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Yemen,Data source,All types,0.03,0.04,0.05,0.04,0.04,0.06,0.04,0.07,0.08,0.07
Yemen,Data source,Beer,0.03,0.04,0.05,0.04,0.03,0.05,0.04,0.06,0.08,0.07
Yemen,Data source,Wine,0,0,0,0,0,0,0,0,0,0
Yemen,Data source,Spirits,0,0,0,0,0,0.01,0,0.01,0,0
Yemen,Data source,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Zambia,Data source,All types,3.05,2.66,3.17,2.73,2.41,2.75,2.39,2.61,2.8,2.82
Zambia,Data source,Beer,0.46,0.46,0.43,0.43,0.41,0.46,0.45,0.47,0.5,0.5
Zambia,Data source,Wine,0.59,0.36,0.41,0.25,0.11,0.34,0.09,0.2,0.22,0.22
Zambia,Data source,Spirits,0.34,0.29,0.28,0.28,0.27,0.27,0.25,0.26,0.24,0.2
Zambia,Data source,Other alcoholic beverages,1.67,1.55,2.05,1.76,1.62,1.68,1.6,1.67,1.83,1.9
Zimbabwe,Data source,All types,2.77,2.82,2.26,2.35,2.17,2.48,1.96,2.39,1.93,1.89
Zimbabwe,Data source,Beer,1.09,1.47,0.88,1.09,0.96,1.14,0.88,1.16,0.74,0.67
Zimbabwe,Data source,Wine,0.07,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01
Zimbabwe,Data source,Spirits,0.34,0.36,0.36,0.37,0.37,0.44,0.4,0.41,0.41,0.42
Zimbabwe,Data source,Other alcoholic beverages,1.27,0.95,1.01,0.88,0.84,0.89,0.66,0.79,0.76,0.79
