,year,country,sex,suicides_no,population,HDIforyear,gdp_for_year($),gdp_per_capita($),unemployment,depression_rate,suicides_per_100K
2642,2004,Australia,female,442,9511351,,611904253806,32454,5.535399913787839,5.9829151343,4.647079053228085
2643,2004,Australia,male,1672,9343200,,611904253806,32454,5.28119993209839,3.82004003952,17.895367754088536
2644,2004,Austria,female,346,4008915,,300904221505,38711,5.892399787902829,4.41485594122,8.630764184324189
2645,2004,Austria,male,1076,3764190,,300904221505,38711,5.78560018539429,2.2760263107300003,28.585167061173852
2646,2004,Azerbaijan,female,30,3962800,,8680472169,1122,8.03999996185303,3.07572806707,0.7570404764308065
2647,2004,Azerbaijan,male,78,3775450,,8680472169,1122,7.94000005722046,1.93489007932,2.06597888993365
2648,2004,Bahamas,female,0,151804,,9055290000,30671,,3.1281211409800003,0.0
2649,2004,Bahamas,male,2,143433,,9055290000,30671,,2.0860297990300003,1.3943792572141696
2650,2004,Bahrain,female,7,298453,,13150166755,17497,,4.940086925669999,2.3454279233246105
2651,2004,Bahrain,male,35,453106,,13150166755,17497,,3.73092238148,7.724461825709657
2652,2004,Barbados,female,0,133086,,3514350000,13786,10.4300003051758,3.16958816708,0.0
2653,2004,Barbados,male,3,121839,,3514350000,13786,8.72000026702881,2.2250764873900004,2.462265776967966
2654,2004,Belgium,female,537,5041684,,370885026074,37661,8.27950000762939,4.923485762059999,10.651203050409347
2655,2004,Belgium,male,1450,4806338,,370885026074,37661,6.64890003204346,2.8871229459900003,30.168498345309878
2656,2004,Belize,female,1,118344,,1057845500,4449,,3.2494489318200004,0.8449942540390725
2657,2004,Belize,male,19,119447,,1057845500,4449,,2.4574639763499997,15.906636416151098
2658,2004,Brazil,female,1703,85354030,,669316654017,3984,11.9006996154785,5.295101064630001,1.9952192064041967
2659,2004,Brazil,male,6292,82639038,,669316654017,3984,6.9721999168396,2.8145929214,7.613835001322256
2660,2004,Bulgaria,female,267,3839994,,25957970922,3485,11.6234998703003,3.15923591728,6.953135864274787
2661,2004,Bulgaria,male,746,3607569,,25957970922,3485,12.400099754333501,2.0545686122,20.678745160522222
2662,2004,Canada,female,879,15313862,,1023196003075,33787,6.85290002822876,4.987075764630001,5.739897616943394
2663,2004,Canada,male,2734,14970104,,1023196003075,33787,7.475900173187259,2.9759332342900002,18.263066175091367
2664,2004,Chile,female,263,7453237,,99210392858,6744,13.0129995346069,5.33487448399,3.528668147812823
2665,2004,Chile,male,1472,7257756,,99210392858,6744,8.55300045013428,3.06418707973,20.281750998517996
2666,2004,Colombia,female,501,19603308,,117074863822,3033,18.0209999084473,2.7429903046900006,2.555691110908424
2667,2004,Colombia,male,1743,19001408,,117074863822,3033,10.708000183105499,2.0778232476400005,9.173004442618147
2668,2004,Costa Rica,female,44,1908394,,18529767934,4850,8.298999786376951,3.2150273109200005,2.3056035598518965
