,country,year,age,suicides/100k pop,depression
310,Armenia,2000,25-34 years,1.595,2.7998523365050003
311,Armenia,2000,35+ years,4.905,4.519723396986667
312,Armenia,2001,14- years,0.445,1.01189260052
313,Armenia,2001,15-24 years,0.555,2.4070161547850004
314,Armenia,2001,25-34 years,0.53,2.81216739616
315,Armenia,2001,35+ years,4.453333333333334,4.524930172973334
316,Armenia,2002,14- years,0.17,1.01427686062
317,Armenia,2002,15-24 years,1.02,2.425145630905
318,Armenia,2002,25-34 years,3.13,2.822203571715
319,Armenia,2002,35+ years,4.905,4.529837350763334
320,Armenia,2003,14- years,0.175,1.02009738095
321,Armenia,2003,15-24 years,0.165,2.4429613395
322,Armenia,2003,25-34 years,2.375,2.8398343788050004
323,Armenia,2003,35+ years,4.666666666666667,4.538610389896666
324,Armenia,2006,14- years,0.225,1.02842315219
325,Armenia,2006,15-24 years,1.81,2.49398880605
326,Armenia,2006,25-34 years,2.06,2.87675480135
327,Armenia,2006,35+ years,5.913333333333334,4.5442399014733335
328,Armenia,2007,14- years,0.235,1.0275745994099998
329,Armenia,2007,15-24 years,1.805,2.51274970677
330,Armenia,2007,25-34 years,1.045,2.883180905245
331,Armenia,2007,35+ years,5.4750000000000005,4.5428566724233335
332,Armenia,2008,14- years,0.475,1.0294916244299999
333,Armenia,2008,15-24 years,0.63,2.52909554915
334,Armenia,2008,25-34 years,1.195,2.896360836745
335,Armenia,2008,35+ years,5.091666666666666,4.5350774214400005
336,Armenia,2009,14- years,0.0,1.03155281685
337,Armenia,2009,15-24 years,1.14,2.54546249482
338,Armenia,2009,25-34 years,0.94,2.902287540385
339,Armenia,2009,35+ years,4.923333333333334,4.528882631556667
340,Armenia,2010,14- years,1.12,1.03017185538
341,Armenia,2010,15-24 years,1.955,2.5499173684
342,Armenia,2010,25-34 years,2.675,2.90914312571
343,Armenia,2010,35+ years,4.8183333333333325,4.526219896553333
344,Armenia,2011,14- years,0.0,1.03322607327
345,Armenia,2011,15-24 years,2.1950000000000003,2.5567263870400003
346,Armenia,2011,25-34 years,1.905,2.9131373035949997
347,Armenia,2011,35+ years,4.13,4.530836577763334
348,Armenia,2012,14- years,0.26,1.0362419005799999
349,Armenia,2012,15-24 years,1.37,2.561396215415
350,Armenia,2012,25-34 years,3.0100000000000002,2.920910702625
351,Armenia,2012,35+ years,4.548333333333333,4.543041397660001
352,Armenia,2013,14- years,0.26,1.03835160986
353,Armenia,2013,15-24 years,0.615,2.56873898443
354,Armenia,2013,25-34 years,1.795,2.92615220527
355,Armenia,2013,35+ years,5.3566666666666665,4.560168253883333
356,Armenia,2014,14- years,0.29,1.03982955226
357,Armenia,2014,15-24 years,1.09,2.57469064591
358,Armenia,2014,25-34 years,1.185,2.934300341685
359,Armenia,2014,35+ years,5.313333333333333,4.583578299546667
360,Armenia,2015,14- years,0.0,1.04097186989
361,Armenia,2015,15-24 years,1.17,2.57787110546
362,Armenia,2015,25-34 years,2.3200000000000003,2.94325253121
363,Armenia,2015,35+ years,6.383333333333333,4.605301689929999
364,Armenia,2016,15-24 years,1.4900000000000002,2.5856691252550004
365,Armenia,2016,25-34 years,1.1400000000000001,2.9497890621600003
366,Armenia,2016,35+ years,5.883333333333334,4.6216933309999995
367,Australia,1990,14- years,0.195,2.32456069745
368,Australia,1990,15-24 years,15.66,6.152454804725
369,Australia,1990,25-34 years,18.66,6.203464126565001
